"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag"
"7115785","K00672.03","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","0","1","0.566800810","1318173 700","0.0040","361 160","1.28E+6","01.Feb","2038.0","4065.92","71.50","3","q1_q17_dr25_tce","5506.00","4.473","0.9140","291169 530","42640 808","13.998"
"7124613","K00673.01","Kepler-642 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","4417462 570","1707907 300","0.0850","296 500","2.91E+6","Mar.95","1810.0","2536.07","22.60","1","q1_q17_dr25_tce","6570.00","3.860","Feb.70","293834 560","42624 962","13.343"
"8711794","K00105.01","Kepler-463 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","8981014 925","1366493 070","0.0970","184 780","1.06E+7","Mar.14","880.0","141.77","198.30","1","q1_q17_dr25_tce","5666.00","4.362","0.9670","298937 040","44857 910","12.870"
"7277317","K00674.01","Kepler-643 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","16338880 670","1779175 860","0.2560","935 990","1.72E+7","Oct.47","963.0","203.31","201.90","1","q1_q17_dr25_tce","4877.00","3.645","Feb.50","290327 330","42898 281","13.781"
"2446134","K07632.01","","FALSE POSITIVE","FALSE POSITIVE","0.2730","1","0","0","0","39130708 600","1657408 000","0.0130","229 500","2.01E+6","Jan.54","600.0","30.75","Jul.40","1","q1_q17_dr25_tce","6295.00","4.401","1.0800","292060 820","37770 191","14.372"
"9963524","K00720.02","Kepler-221 d","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","10041572 140","1370844 200","0.7680","265 770","1.11E+7","Feb.97","712.0","60.74","28.Oct","2","q1_q17_dr25_tce","5244.00","4.538","0.8100","296654 750","46835 270","13.749"
"9963524","K00720.03","Kepler-221 e","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","18369746 580","1318657 300","0.9470","293 900","1.14E+7","Mar.58","582.0","27.14","20.Oct","3","q1_q17_dr25_tce","5244.00","4.538","0.8100","296654 750","46835 270","13.749"
"9963524","K00720.04","Kepler-221 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","2795900 040","1327297 100","0.6380","205 600","3.84E+6","Jan.66","1090.0","333.31","16.30","4","q1_q17_dr25_tce","5244.00","4.538","0.8100","296654 750","46835 270","13.749"
"9964801","K00721.01","Kepler-654 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","13724627 020","1806480 700","0.7480","697 580","2.82E+6","Feb.13","831.0","112.82","50.10","1","q1_q17_dr25_tce","5817.00","4.293","1.1710","297068 420","46834 278","13.645"
"9965439","K00722.01","Kepler-655 b","CONFIRMED","CANDIDATE","0.9950","0","0","0","0","46406260 000","1929963 300","0.0180","702 810","4.69E+6","Feb.66","588.0","28.23","51.20","1","q1_q17_dr25_tce","6086.00","4.276","Jan.70","297259 090","46843 189","13.489"
